ID Candidato,Municipio,Candidato,Votos,pct_votos_trazados,Ganador,n_posts_total,n_posts_facebook,facebook_likes_total,facebook_likes_late_growth,facebook_comentarios_total,facebook_comentarios_late_growth,facebook_compartidos_total,facebook_compartidos_late_growth,facebook_vistas_total,facebook_vistas_late_growth,facebook_favoritos_total,facebook_favoritos_late_growth,facebook_fb_love_total,facebook_fb_love_late_growth,facebook_fb_haha_total,facebook_fb_haha_late_growth,facebook_fb_care_total,facebook_fb_care_late_growth,facebook_fb_wow_total,facebook_fb_wow_late_growth,facebook_fb_sad_total,facebook_fb_sad_late_growth,facebook_fb_angry_total,facebook_fb_angry_late_growth,n_posts_tiktok,tiktok_likes_total,tiktok_likes_late_growth,tiktok_comentarios_total,tiktok_comentarios_late_growth,tiktok_compartidos_total,tiktok_compartidos_late_growth,tiktok_vistas_total,tiktok_vistas_late_growth,tiktok_favoritos_total,tiktok_favoritos_late_growth,tiktok_fb_love_total,tiktok_fb_love_late_growth,tiktok_fb_haha_total,tiktok_fb_haha_late_growth,tiktok_fb_care_total,tiktok_fb_care_late_growth,tiktok_fb_wow_total,tiktok_fb_wow_late_growth,tiktok_fb_sad_total,tiktok_fb_sad_late_growth,tiktok_fb_angry_total,tiktok_fb_angry_late_growth,n_posts_twitter,twitter_likes_total,twitter_likes_late_growth,twitter_comentarios_total,twitter_comentarios_late_growth,twitter_compartidos_total,twitter_compartidos_late_growth,twitter_vistas_total,twitter_vistas_late_growth,twitter_favoritos_total,twitter_favoritos_late_growth,twitter_fb_love_total,twitter_fb_love_late_growth,twitter_fb_haha_total,twitter_fb_haha_late_growth,twitter_fb_care_total,twitter_fb_care_late_growth,twitter_fb_wow_total,twitter_fb_wow_late_growth,twitter_fb_sad_total,twitter_fb_sad_late_growth,twitter_fb_angry_total,twitter_fb_angry_late_growth,total_likes,total_comentarios,total_compartidos,total_vistas,total_favoritos,total_fb_love,total_fb_haha,total_fb_care,total_fb_wow,total_fb_sad,total_fb_angry,avg_interactions_per_post,max_interactions_single_post,std_interactions
COL-25754-009,Soacha,Dany Rene Caicedo Vasquez,53359,35.4081368574026,No,57,50,23254,556,2405,52,6948,162,183139,4146,0,0,5647,130,422,6,366,3,11,0,10,0,18,0,1,350,23,16,1,27,2,19201,1258,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,140,0,45,0,47,0,11776,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23744,2466,7022,214116,6,5647,422,366,11,10,18,583.0175438596491,2597,442.0903871393298
COL-08433-001,Soledad,Jose Joao Herrera Iranzo,54221,32.69930103668502,No,28,16,4582,103,2050,44,367,6,198135,4375,0,0,514,9,627,11,64,1,10,0,52,1,17,0,5,208,14,33,2,16,0,9970,611,6,0,0,0,0,0,0,0,0,0,0,0,0,0,7,39,0,16,0,8,0,3789,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4829,2099,391,211894,6,514,627,64,10,52,17,261.39285714285717,1321,284.2111029819227
COL-08433-007,Soledad,Alcira Paola Sandoval Ibañez,85145,51.348776060355696,Sí,24,20,2638,60,674,12,586,14,10616,216,0,0,942,22,8,0,80,0,0,0,4,0,0,0,4,296,18,30,2,18,0,12708,820,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2934,704,604,23324,4,942,8,80,0,4,0,176.75,407,96.05444561153394
COL-08433-008,Soledad,Elvira Patricia Gutierrez Hernandez,26451,15.951922902959287,No,20,9,4070,101,541,14,659,17,195075,4648,0,0,1569,40,32,0,101,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4070,541,673,195075,0,1569,32,101,2,1,2,264.2,2289,536.818267788624
COL-15001-001,Tunja,Vicente Anibal Ojeda Martinez,11661,20.181374500268255,No,13,8,1557,38,131,3,192,6,8031,182,0,0,319,7,7,0,30,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1557,131,215,8031,0,319,7,30,0,0,2,146.3846153846154,337,134.82243783432244
COL-15001-008,Tunja,John Ernesto Carrero Villamil,18782,32.505494885862134,No,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,0,0,0,0,0,0,0,0,13.96875,31,7.086945631729989
COL-15001-009,Tunja,Mikhail Krasnov,27338,47.31313061386961,Sí,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14853,956,407,26,772,51,557274,35773,578,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14853,407,772,557274,578,0,0,0,0,0,0,1603.2,2911,968.3592997092212
COL-20001-002,Valledupar,Lina Maria de Armas Daza,11003,7.381591305514558,No,20,11,237,5,40,0,71,0,2712,64,0,0,19,0,3,0,4,0,0,0,0,0,0,0,5,172,11,14,1,8,0,2666,175,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,409,54,142,5378,5,19,3,4,0,0,0,30.25,70,18.22339444952992
COL-20001-005,Valledupar,Christian Jose Moreno Villamizar,25715,17.251442372199115,No,65,11,1372,30,171,3,166,3,49529,1073,0,0,183,3,20,0,5,0,1,0,2,0,2,0,20,460,28,17,0,32,0,6867,407,46,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1832,188,819,56396,46,183,20,5,1,2,2,43.676923076923075,793,104.7228645778209
COL-20001-006,Valledupar,Miguel Antonio Morales Campo,19339,12.97397021333691,No,2,2,974,21,55,1,58,1,15186,325,0,0,151,3,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,974,55,58,15186,0,151,0,16,0,0,0,543.5,813,381.1305550595491
COL-20001-007,Valledupar,Ernesto Miguel Orozco Duran,71590,48.027639876559775,Sí,51,30,4305,97,1082,20,523,7,51184,1076,0,0,693,12,55,1,82,0,1,0,1,0,1,0,1,111,7,10,1,11,1,2246,145,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2360,3,163,0,645,1,103354,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6776,1255,1179,156784,4,693,55,82,1,1,1,180.58823529411765,1027,195.55154578479693
COL-20001-008,Valledupar,Camilo Andres Quiroz Hinojosa,21413,14.365356232389642,No,64,6,326,6,58,0,34,0,1998,46,0,0,82,0,0,0,16,0,0,0,0,0,0,0,8,3300,204,130,6,162,10,82404,5044,60,2,0,0,0,0,0,0,0,0,0,0,0,0,50,1107,0,83,0,360,0,108721,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4733,271,556,193123,60,82,0,16,0,0,0,86.875,678,158.24809735810513
COL-50001-003,Villavicencio,Juan Camilo Chavez Niño,63046,53.11015264346126,No,23,20,6458,158,800,19,1463,35,30028,707,0,0,1323,34,108,2,96,1,2,0,3,0,4,0,3,1044,65,61,4,140,9,25518,1618,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7502,861,1603,55546,34,1323,108,96,2,3,4,433.30434782608694,926,216.59900838827173
COL-50001-008,Villavicencio,Mario Alberto Romero Arismendy,15058,12.684907504127777,No,45,27,9245,216,1473,35,2055,49,220033,4919,0,0,1539,36,73,0,97,0,10,0,1,0,10,0,16,1513,87,100,5,89,4,16738,968,49,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10758,1573,2152,236771,49,1539,73,97,10,1,10,321.84444444444443,1285,277.4842301461436
COL-50001-016,Villavicencio,Irina Colette Salas Londoño,40604,34.20493985241096,No,46,22,7994,186,1111,25,2481,59,155643,3396,0,0,1548,35,332,6,85,0,7,0,4,0,39,0,4,768,48,69,4,98,5,20235,1263,28,1,0,0,0,0,0,0,0,0,0,0,0,0,20,1445,0,157,0,633,0,71261,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10207,1337,3212,247139,28,1548,332,85,7,4,39,320.7826086956522,1351,281.6494995197225
